id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,distance
71519,Bow Island Irrigation Agdm,CA,AB,71519,CPXL,49.87,-111.37,796.0,America/Edmonton,2004-09-21,2022-08-18,2004-06-18,2022-03-13,2004-01-01,2022-01-01,127289.7403996689
71536,Raymond Agdm,CA,AB,71536,CPRY,49.48,-112.68,937.0,America/Edmonton,2004-08-05,2024-09-22,2004-06-01,2024-04-28,2004-01-01,2022-01-01,127290.74859036038
71535,Fincastle Agdm,CA,AB,71535,CPFI,49.8,-112.03,833.0,America/Edmonton,2004-09-21,2024-09-22,2004-06-01,2024-04-28,2004-01-01,2022-01-01,128871.61209027044
K8S00,Browning / Starr School,US,MT,,K8S0,48.6014,-113.1148,1420.0,America/Denver,2014-09-28,2015-08-04,,,,,129221.85860903056
71788,Grassy Lake,CA,AB,71788,,49.87,-111.73,783.0,America/Edmonton,2007-06-05,2024-04-16,2007-01-08,2024-04-17,2007-01-01,2022-01-01,130007.27936376727
TN7X6,Taber,CA,AB,,,49.79,-112.12,811.0,America/Edmonton,,,2000-01-01,2022-12-06,2000-01-01,2008-01-01,130447.52022525611
KGFA0,Great Falls / Malmstrom Air Force Base,US,MT,,KGFA,47.5047,-111.1873,1058.0,America/Denver,1942-12-01,2024-09-22,1942-12-02,2022-04-24,1943-01-01,2020-01-01,136361.60992636115
71525,Seven Persons Agdm,CA,AB,71525,CPSV,49.92,-110.92,766.0,America/Edmonton,2004-10-05,2024-09-22,2004-06-17,2024-04-28,2004-01-01,2022-01-01,136712.03384782973
71346,Barnwell Agdm,CA,AB,71346,CXBW,49.8,-112.3,824.0,America/Edmonton,2004-05-10,2024-04-02,2002-01-01,2024-04-01,2002-01-01,2022-01-01,137409.93361898453
72775,Great Falls International,US,MT,72775,KGTF,47.4667,-111.3833,1120.0,America/Denver,1973-01-01,2024-09-22,1937-04-01,2024-12-30,1937-01-01,2022-01-01,139951.8842446637
72776,"Great Falls, Mt.",US,MT,72776,KTFX,47.4667,-111.3833,1131.0,America/Denver,1994-09-21,2024-07-23,,,,,139951.8842446637
GBAB3,Foxtrot,US,MT,,K1FM,47.6,-112.3,1343.0,America/Denver,2022-05-06,2024-09-22,,,,,143043.00593857595
72273,"Fort Huachuca, Libby Aaf Ft Huachuca",US,AZ,72273,KFHU,47.6333,-110.3333,1438.0,America/Phoenix,1954-10-11,2024-09-22,1900-02-01,2022-04-25,1900-01-01,2022-01-01,143515.53837619477
32TJW,Lethbridge Agtech AGCM,CA,AB,,,49.65,-112.76,918.0,America/Edmonton,2020-01-01,2022-12-14,2018-05-14,2022-12-11,2018-01-01,2022-01-01,144381.54136381994
71874,"Lethbridge, Alta.",CA,BC,,CYQL,49.6333,-112.8,929.0,America/Edmonton,2005-01-01,2024-09-22,1957-01-06,2024-12-29,1957-01-01,2022-01-01,145151.5441656089
71837,St. Mary Reservoir,CA,AB,71837,CPMR,49.36,-113.11,1128.0,America/Edmonton,2007-08-06,2024-07-19,2007-03-01,2022-04-24,2007-01-01,2021-01-01,145437.1462128224
H8JAU,Lethbridge Demo Farm Agdm,CA,AB,71509,,49.68,-112.75,903.0,America/Edmonton,2020-01-01,2022-12-14,2004-06-01,2022-12-10,2004-01-01,2022-01-01,146253.86600521763
71243,Lethbridge CDA,CA,AB,71243,CWQL,49.7,-112.77,910.0,America/Edmonton,1994-12-01,2024-07-16,1908-02-17,2024-04-28,1908-01-01,2022-01-01,148853.93119670797
71153,Cardston,CA,AB,71153,CWFJ,49.2,-113.29,1136.0,America/Edmonton,1994-12-01,2024-09-22,1994-07-27,2024-04-28,1994-01-01,2022-01-01,150097.79390763448
U1M26,Carway,CA,AB,71488,,49.0,-113.38,1354.0,America/Denver,2020-01-01,2022-12-14,2012-01-16,2022-12-11,2012-01-01,2022-01-01,150507.7046519605
71872,"Medicine Hat, Alta.",CA,AB,,CYXH,50.0167,-110.7167,717.0,America/Edmonton,1955-07-02,2024-09-22,1977-07-04,2024-04-28,2006-01-01,2022-01-01,151083.5556251518
5EPY6,Medicine Hat,CA,AB,71247,,50.02,-110.72,717.0,America/Edmonton,2020-01-01,2022-12-14,2010-09-23,2022-12-11,2010-01-01,2022-01-01,151357.9679156512
XMJXB,Medicine Hat RCS,CA,AB,71026,,50.03,-110.72,715.0,America/Edmonton,2020-01-01,2022-12-14,2000-08-01,2022-12-14,2000-01-01,2022-01-01,152414.5362658667
9V4HL,Ralston AGCM,CA,AB,,,50.1,-111.21,770.0,America/Edmonton,2020-01-01,2022-12-14,2018-05-14,2022-12-11,2018-01-01,2022-01-01,153276.22189425485
71517,Blood Tribe Agdm,CA,AB,71517,CPBT,49.57,-113.05,980.0,America/Edmonton,2004-09-21,2024-05-10,2004-06-01,2024-04-28,2004-01-01,2022-01-01,154389.6813806166
KS710,Chinook / Sprinkle Trailer Court,US,MT,,KS71,48.5921,-109.2506,736.0,America/Denver,2020-03-31,2024-06-17,2020-03-31,2022-04-24,2020-01-01,2020-01-01,156020.30908185575
71251,Vauxhall CDA CS,CA,AB,71251,CWVO,50.05,-112.13,779.0,America/Edmonton,1993-06-07,2024-07-16,1993-06-07,2024-04-28,1993-01-01,2022-01-01,157358.233294687
71839,Bullhorn Coulee Reservoir,CA,AB,71839,CPBR,49.3,-113.36,1115.0,America/Edmonton,2009-08-01,2024-07-19,2007-03-01,2022-04-24,2007-01-01,2021-01-01,158890.62869218652
71795,Irvine AGCM,CA,AB,71795,CPIA,49.99,-110.26,795.0,America/Edmonton,2008-04-01,2024-07-19,2007-09-01,2024-04-28,2007-01-01,2022-01-01,161815.13428510385
71528,Iron Springs Agdm,CA,AB,71528,CPIR,49.9,-112.73,858.0,America/Edmonton,2004-09-21,2023-08-04,2004-06-01,2023-08-03,2004-01-01,2022-01-01,163854.12290238976
HVJTT,Picture Butte West,CA,AB,,,49.87,-112.79,901.0,America/Edmonton,,,2000-01-01,2022-12-13,2000-01-01,2022-01-01,163932.02505246535
JOVI3,Raynesford,US,MT,,K1AM,47.3,-110.8,1219.0,America/Denver,2022-05-06,2024-09-22,,,,,163963.72850374
FZIS8,Golf,US,MT,,K1GM,47.33,-112.1,1311.0,America/Denver,2022-05-06,2024-09-22,,,,,164483.09692899892
71016,Bullhorn Headwaters,CA,AB,71016,CPBH,49.15,-113.55,1326.0,America/Edmonton,2007-11-24,2024-07-02,2007-03-01,2022-04-24,2007-01-01,2021-01-01,166411.12818372055
23LJZ,Mountain View Village,CA,AB,,,49.13,-113.59,1308.0,America/Edmonton,,,2000-01-01,2015-04-16,2000-01-01,2014-01-01,168638.71999511836
71139,Cypress Hills Park,CA,SK,71139,CWVP,49.64,-109.51,1271.0,America/Swift_Current,1992-05-05,2024-09-22,1992-07-09,2024-04-28,1995-01-01,2022-01-01,168898.08611097542
71885,Glenwood,CA,AB,71885,CPCR,49.33,-113.52,1074.0,America/Edmonton,2007-11-24,2024-07-19,2007-03-01,2022-04-24,2007-01-01,2021-01-01,170878.73086512275
F6QYX,Claydon,CA,SK,,,49.13,-109.1,975.0,America/Swift_Current,,,2000-01-01,2017-08-31,2000-01-01,2017-01-01,171495.8999198357
71128,Suffield Airport,CA,AB,71128,CYSD,50.27,-111.18,770.0,America/Edmonton,2004-05-12,2020-10-01,1950-04-01,2008-12-31,1950-01-01,2008-01-01,172287.4813101787
RNCVX,Rolling Hills AGCM,CA,AB,71105,,50.27,-111.7,645.0,America/Edmonton,2020-01-01,2022-12-14,2007-09-01,2022-12-11,2007-01-01,2022-01-01,173459.34581803164
YI9QV,Ardenville,CA,AB,,,49.53,-113.43,1126.0,America/Edmonton,2020-01-01,2022-12-15,2018-05-14,2022-12-12,2018-01-01,2022-01-01,174856.43562859768
71518,Enchant Agdm,CA,AB,71518,CPEH,50.18,-112.43,801.0,America/Edmonton,2004-09-21,2024-04-03,2004-06-16,2024-04-02,2004-01-01,2022-01-01,179130.85576751627
71154,Waterton Park Gate,CA,AB,71154,CWGM,49.13,-113.81,1289.0,America/Edmonton,1994-07-06,2024-09-22,1994-08-31,2024-04-28,1996-01-01,2022-01-01,184176.15883033146
71789,Fort Macleod AGCM,CA,AB,71789,CPFM,49.79,-113.38,978.0,America/Edmonton,2008-04-01,2024-07-19,2007-09-01,2024-04-28,2007-01-01,2022-01-01,188124.77675574154
MRYDA,Delta,US,MT,,K1DM,47.38,-109.82,1093.0,America/Denver,2022-05-06,2024-09-22,,,,,188586.73653649178
71453,Maple Creek,CA,SK,71453,CWMQ,49.9,-109.47,767.0,America/Regina,1990-03-14,2024-09-22,1990-03-23,2024-04-28,1993-01-01,2022-01-01,189565.39645929635
71131,Eastend Cypress,CA,SK,71131,CWEH,49.44,-108.99,1080.0,America/Swift_Current,1977-07-01,2024-09-22,1979-09-27,2024-04-28,1996-01-01,2022-01-01,190361.56245234387
V6I1O,Bull Springs AGCM,CA,AB,,,50.34,-110.48,780.0,America/Edmonton,2020-01-01,2022-12-14,2018-05-14,2022-12-11,2018-01-01,2022-01-01,190574.88964443665
I07JK,Rainier AGCM,CA,AB,,,50.37,-112.12,765.0,America/Edmonton,2020-01-01,2022-12-15,2018-05-14,2022-12-12,2018-01-01,2022-01-01,190817.23468508924
N9KHB,Tide Lake AGCM,CA,AB,,,50.46,-111.32,766.0,America/Edmonton,2020-01-01,2022-12-14,2018-05-14,2022-12-11,2018-01-01,2022-01-01,192921.88480253622
71007,Barons AGCM,CA,AB,71007,CPBA,50.03,-113.22,967.0,America/Edmonton,2007-11-24,2024-07-02,2007-05-01,2024-04-28,2007-01-01,2022-01-01,197668.77446745077
71269,Schuler Agdm,CA,AB,71269,CXSC,50.31,-110.09,800.0,America/Edmonton,2004-08-24,2024-04-29,2002-11-25,2024-04-28,2002-01-01,2022-01-01,198806.71497181
468T8,Windham,US,MT,,K1CM,47.1,-110.2,1337.0,America/Denver,2022-05-06,2024-09-22,,,,,200499.50189905064
9Y709,Echo,US,MT,,K1EM,47.4535,-109.4163,1116.0,America/Denver,2022-05-06,2024-09-22,,,,,202356.3376703019
71341,Brocket Agdm,CA,AB,71341,CXBR,49.62,-113.82,1073.0,America/Edmonton,2004-05-10,2024-07-08,2001-12-12,2024-04-28,2002-01-01,2022-01-01,204296.93774577553
V7SJT,Travers AGCM,CA,AB,71848,,50.3,-112.86,955.0,America/Edmonton,2020-01-01,2022-01-30,2007-09-01,2022-01-29,1954-01-01,2021-01-01,205675.36989119637
71457,Brooks,CA,AB,71457,CWBO,50.56,-111.85,747.0,America/Edmonton,1991-08-01,2024-09-22,1988-12-01,2024-04-28,1988-01-01,2022-01-01,206976.41578242247
VY3GX,Pincher Creek,CA,AB,71085,,49.52,-114.0,1190.0,America/Edmonton,2020-01-01,2022-12-14,2011-06-30,2022-12-11,2011-01-01,2022-01-01,211100.20983559653
HO4R3,Pincher Creek,CA,AB,71736,,49.52,-114.0,1190.0,America/Edmonton,2020-01-01,2022-12-14,2000-01-01,2022-12-13,2000-01-01,2022-01-01,211100.20983559653
71234,Claresholm,CA,AB,71234,CWDK,50.0,-113.64,1009.0,America/Edmonton,1994-02-01,2024-09-22,1951-08-01,2024-04-28,1951-01-01,2022-01-01,217301.3635579508
72779,Glacier Park International  Airport,US,MT,72779,KGPI,48.3,-114.2667,906.0,America/Denver,1973-01-01,2024-09-22,1896-06-01,2024-12-30,1896-01-01,2022-01-01,218877.14155459334
OB41Q,Lathom AGCM,CA,AB,,,50.6,-112.3,810.0,America/Edmonton,2020-01-01,2022-12-14,2018-05-14,2022-12-11,2018-01-01,2022-01-01,219043.8662256989
ZL8XC,Treelon,CA,SK,,,49.0,-108.38,902.0,America/Swift_Current,,,2000-01-01,2017-07-04,2000-01-01,2010-01-01,220489.102924522
RR9X4,Beaver Mines,CA,AB,71304,,49.47,-114.18,1257.0,America/Edmonton,2020-01-01,2022-12-14,2012-02-07,2022-12-11,2012-01-01,2022-01-01,221013.94229332503
71217,Champion Agdm,CA,AB,71217,CXCP,50.28,-113.35,1006.0,America/Edmonton,2002-12-12,2024-09-22,2002-11-01,2024-04-28,2003-01-01,2022-01-01,224544.12704599954
23C2X,Patricia AGCM,CA,AB,,,50.74,-111.62,726.0,America/Edmonton,2020-01-01,2022-12-14,2018-05-14,2022-12-11,2018-01-01,2022-01-01,224775.22857002963
KR6LU,Queenstown,CA,AB,71073,,50.6,-112.8,941.0,America/Edmonton,2020-01-01,2022-07-05,2009-08-05,2022-07-04,2009-01-01,2021-01-01,232625.13851006585
QZ2UB,Atlee AGCM,CA,AB,71986,,50.81,-111.01,795.0,America/Edmonton,2020-01-01,2022-12-14,2009-02-14,2022-12-11,2009-01-01,2022-01-01,233211.7832189898
KLWT0,Lewistown / Lewlistown [Misspelling] / Lewistown Heights,US,MT,,KLWT,47.0493,-109.4667,1271.0,America/Denver,1942-04-01,2024-09-22,1942-04-02,2022-04-24,1942-01-01,2022-01-01,234016.73019323836
XPC39,Buffalo AGCM,CA,AB,,,50.8,-110.69,723.0,America/Edmonton,2020-01-01,2022-12-14,2018-05-14,2022-12-11,2018-01-01,2022-01-01,235741.32612456943
TB9JW,Social Plains AGCM,CA,AB,,,50.73,-110.21,741.0,America/Edmonton,2020-01-01,2022-12-14,2018-05-14,2022-12-11,2018-01-01,2022-01-01,237873.58848600741
71537,Rosemary Agdm,CA,AB,71537,CPRO,50.83,-112.05,714.0,America/Edmonton,2004-08-04,2024-09-22,2004-06-01,2024-04-28,2004-01-01,2022-01-01,239142.05833399436
MHGC4,Queenstown,CA,AB,,,50.61,-112.98,940.0,America/Edmonton,,,2000-01-01,2022-12-09,2000-01-01,2022-01-01,239621.49697382393
72772,Helena Regional Airport,US,MT,72772,KHLN,46.6,-111.9667,1180.0,America/Denver,1973-01-01,2024-09-22,1938-04-01,2024-12-30,1938-01-01,2022-01-01,240569.66648666534
71250,Turtle Mountain,CA,AB,,CWNT,49.5833,-114.4167,2164.0,America/Edmonton,1994-01-03,2024-07-16,1994-01-25,2024-04-28,2010-01-01,2022-01-01,241529.92847524633
MDSMM,Roy,US,MT,,K1OM,47.3,-108.9,1086.0,America/Denver,2022-04-28,2024-09-22,,,,,242351.4672773459
71555,Stavely Aafc,CA,AB,71555,CWXN,50.18,-113.88,1364.0,America/Edmonton,2001-09-16,2024-07-18,1996-11-01,2024-04-28,1996-01-01,2022-01-01,243304.31291954237
0WQ7X,Verger,CA,AB,,,50.9,-111.96,723.0,America/Edmonton,2020-01-01,2022-12-15,2018-05-14,2022-12-12,2018-01-01,2022-01-01,245553.99878622594
71236,Crowsnest,CA,AB,71236,CWRT,49.63,-114.48,1303.0,America/Edmonton,1993-06-07,2024-09-22,1993-06-07,2024-04-28,1993-01-01,2022-01-01,247728.07555530765
3NQVP,Bassano AGCM,CA,AB,71008,,50.89,-112.47,807.0,America/Edmonton,2020-01-01,2022-12-14,2007-05-01,2022-12-11,2007-01-01,2022-01-01,253418.4715654314
VIK6H,Cabin Lake AGCM,CA,AB,,,51.02,-111.22,734.0,America/Edmonton,2020-02-27,2022-12-14,2018-05-14,2022-12-11,2018-01-01,2022-01-01,255375.61409047776
KM750,Malta / Riverside Trailer Court,US,MT,,KM75,48.3669,-107.9193,687.0,America/Denver,2020-01-14,2024-09-22,2020-01-14,2022-04-24,2020-01-01,2022-01-01,256756.3719059567
H5X3C,Lima - Judith Gap,US,MT,,K1LM,46.7,-109.7,1414.0,America/Denver,2022-10-19,2024-09-10,,,,,257350.95764035455
71057,Mossleigh AGCM,CA,AB,71057,CPML,50.67,-113.35,965.0,America/Edmonton,2008-07-21,2024-07-02,2007-09-01,2024-04-28,2007-01-01,2022-01-01,259089.84428703686
IH1Y3,Blackie AGCM,CA,AB,,,50.55,-113.64,1019.0,America/Edmonton,2020-01-01,2022-12-14,2018-05-14,2022-12-11,2018-01-01,2022-01-01,260745.48566859314
63SNJ,Finnegan AGCM,CA,AB,,,51.05,-112.1,748.0,America/Edmonton,2020-01-01,2022-12-15,2018-05-14,2022-12-12,2018-01-01,2022-01-01,263800.0790462488
2U6R8,Cappon,CA,AB,,,51.07,-110.8,758.0,America/Edmonton,2020-01-01,2022-12-15,2018-05-14,2022-12-12,2018-01-01,2022-01-01,263846.0792109724
71259,Pollockville Agdm,CA,AB,71259,CXPL,51.13,-111.71,750.0,America/Edmonton,2004-08-24,2024-06-12,2002-11-01,2024-04-28,2003-01-01,2022-01-01,268530.17239997623
71498,Gleichen AGCM,CA,AB,71498,CWXV,50.93,-112.94,907.0,America/Edmonton,1991-03-05,2024-07-18,1992-06-27,2024-04-28,2008-01-01,2022-01-01,269910.6066461892
KPSTS,Acadia Valley,CA,AB,71048,,51.07,-110.32,735.0,America/Edmonton,2020-01-01,2022-12-14,2009-02-14,2022-12-11,2009-01-01,2022-01-01,271252.51310395857
OBMJ4,Kilo - Harlowton,US,MT,,K1KM,46.5,-109.8,1330.0,America/Denver,2022-05-06,2024-09-22,,,,,273832.7993723596
LK552,Azure,CA,AB,71981,,50.51,-114.01,1143.0,America/Edmonton,2020-01-01,2022-12-14,2008-11-27,2022-12-11,2009-01-01,2022-01-01,275075.9312449538
71459,Leader Airport,CA,SK,71459,CWJX,50.91,-109.5,676.0,America/Swift_Current,1991-08-22,2024-09-22,1991-10-28,2024-04-28,1993-01-01,2022-01-01,277331.89366473025
XEEN8,N Bar Ranch Airport,US,MT,,KMVH,46.8381,-108.9368,1355.0,America/Denver,2022-04-23,2024-09-22,2022-04-23,2022-04-25,,,277384.47869831516
71137,Val Marie Southeast,CA,SK,71137,CWVN,49.06,-107.59,796.0,America/Swift_Current,1991-12-08,2024-09-22,1992-04-28,2024-04-28,1993-01-01,2022-01-01,278470.0457077099
71174,Sparwood / Natal,CA,BC,,CWSW,49.7453,-114.8828,1138.0,America/Edmonton,1980-04-23,2024-09-22,2012-07-27,2024-04-28,2012-01-01,2022-01-01,279407.60162343836
L2RZI,Sparwood,CA,BC,,,49.75,-114.88,1138.0,America/Edmonton,,,2000-01-01,2020-02-22,2000-01-01,2020-01-01,279423.35603737185
2ZZ1L,Sparwood Airport,CA,BC,,,49.75,-114.88,1138.0,America/Edmonton,2020-01-01,2022-12-14,,,,,279423.35603737185
71782,Sparwood CS,CA,BC,71782,CWGW,49.75,-114.88,1137.0,America/Edmonton,1995-04-23,2024-09-22,1992-11-01,2024-04-28,1992-01-01,2022-01-01,279423.35603737185
9HFPT,Fernie,CA,BC,,,49.49,-115.07,1001.0,America/Edmonton,,,2000-01-01,2022-12-12,2000-01-01,2019-01-01,282730.4163491462
7ZGEJ,Sparwood Airport,CA,BC,,,49.83,-114.88,1158.0,America/Edmonton,2020-01-01,2022-12-15,2018-10-30,2022-12-12,2019-01-01,2022-01-01,282978.6201033867
71344,Hussar Agdm,CA,AB,71344,CXHR,51.18,-112.5,971.0,America/Edmonton,2004-05-10,2024-05-27,2001-12-20,2024-04-28,2002-01-01,2022-01-01,284762.3675184351
ZHFB3,Sunnynook AGCM,CA,AB,,,51.3,-111.39,0.0,America/Edmonton,2020-01-01,2022-12-15,2018-05-14,2022-12-12,2018-01-01,2022-01-01,286303.46965509537
71669,Pekisko,CA,AB,71669,CNPK,50.37,-114.42,1415.0,America/Edmonton,2005-05-24,2024-07-19,1998-05-01,2024-04-28,1998-01-01,2018-01-01,286343.1278393827
72773,Missoula International Airport,US,MT,72773,KMSO,46.9167,-114.1,976.0,America/Denver,1973-01-01,2024-09-22,1948-01-01,2024-12-29,1948-01-01,2022-01-01,286549.99157272896
EG278,Cereal AGCM,CA,AB,,,51.28,-110.82,753.0,America/Edmonton,2020-01-01,2022-12-14,2018-05-14,2022-12-11,2018-01-01,2022-01-01,286732.56630950404
PUYOP,Baynes Lake Kootenay River,CA,BC,,,49.23,-115.22,800.0,America/Edmonton,,,2000-01-01,2017-09-07,2000-01-01,2017-01-01,286839.45588606584
ZX07Q,Okotoks,CA,AB,,,50.73,-113.96,1081.0,America/Edmonton,,,2000-01-01,2022-12-02,2000-01-01,2021-01-01,290610.3850531735
71526,Strathmore Agdm,CA,AB,71526,CPST,51.03,-113.28,967.0,America/Edmonton,2004-10-05,2024-09-22,2004-06-01,2024-04-28,2004-01-01,2022-01-01,290666.83473196643
YOXVR,Black Diamond,CA,AB,71982,,50.71,-114.15,1156.0,America/Edmonton,2020-01-01,2022-12-14,2008-12-04,2022-12-11,2009-01-01,2022-01-01,297928.81280803494
EG4OT,Fording River Cominco,CA,BC,,,50.15,-114.86,1585.0,America/Edmonton,,,2000-01-01,2017-04-12,2000-01-01,2008-01-01,298201.47245817946
IMXD1,Standard AGCM,CA,AB,71440,,51.23,-112.98,901.0,America/Edmonton,2020-01-01,2022-12-14,2007-09-01,2022-12-11,2007-01-01,2022-01-01,301481.0665222531
71342,Oyen Agdm,CA,AB,71342,CXOY,51.38,-110.35,767.0,America/Edmonton,2004-09-28,2024-05-03,2002-02-01,2024-04-28,2002-01-01,2022-01-01,303955.0166620125
UA5EI,Sheerness AGCM,CA,AB,,,51.46,-111.65,852.0,America/Edmonton,2020-01-01,2022-12-14,2018-05-14,2022-12-11,2018-01-01,2022-01-01,304766.09674131015
N3KNG,Youngstown AGCM,CA,AB,,,51.49,-111.22,800.0,America/Edmonton,2020-01-01,2022-12-14,2018-05-14,2022-12-11,2018-01-01,2022-01-01,307599.41450428107
KS590,Libby / Pioneer Junction,US,MT,,KS59,48.2838,-115.4902,794.0,America/Denver,2020-03-31,2024-06-11,2020-04-19,2022-04-06,,,307795.9956517963
KX8V6,Hand Hills AGCM,CA,AB,,,51.45,-112.14,941.0,America/Edmonton,2020-01-01,2022-12-14,2018-05-14,2022-12-11,2018-01-01,2022-01-01,307972.6187884337
V5KX1,Wardner Ktny Hatchery,CA,BC,,,49.47,-115.46,760.0,America/Edmonton,,,2000-01-01,2021-02-21,2000-01-01,2020-01-01,309368.30170721596
ET1SW,Ft Steele Dandy Crk,CA,BC,,,49.52,-115.46,856.0,America/Edmonton,,,2000-01-01,2022-12-13,2000-01-01,2007-01-01,310757.27680924226
9Z5VP,Sibbald Westgard,CA,AB,,,51.42,-110.15,724.0,America/Edmonton,,,2000-01-01,2018-08-28,2000-01-01,2018-01-01,311928.9458434672
71446,Swift Current CDA,CA,SK,71446,CWVC,50.27,-107.73,825.0,America/Swift_Current,1991-01-08,2024-07-17,1959-01-01,2024-12-28,1959-01-01,2022-01-01,313678.5696284577
71237,Drumheller East,CA,AB,71237,CWDZ,51.45,-112.68,678.0,America/Edmonton,2001-09-16,2024-09-22,1995-10-06,2024-04-28,1995-01-01,2022-01-01,317150.2252065286
TO1XK,Swift Current,CA,SK,71142,,50.29,-107.69,817.0,America/Swift_Current,2020-01-01,2022-12-14,2011-06-30,2022-12-11,2011-01-01,2022-01-01,317266.27898662706
71870,"Swift Current, Saskatchewan",CA,SK,71870,CYYN,50.2833,-107.6833,818.0,America/Swift_Current,1996-11-01,2024-09-22,1938-05-01,2022-04-24,1938-01-01,2022-01-01,317278.86042021477
F4POF,Priddis Observatory,CA,AB,,,50.87,-114.29,1267.0,America/Edmonton,2020-01-01,2022-12-14,2018-05-14,2022-12-11,2021-01-01,2021-01-01,317662.8585558887
033E7,Keoma AGCM,CA,AB,,,51.19,-113.63,945.0,America/Edmonton,2020-01-01,2022-12-14,2018-05-14,2022-12-11,2018-01-01,2022-01-01,318335.3658102888
72774,Butte / Valley Vista Mobile Home Community,US,MT,72774,KBTM,45.9548,-112.4975,1692.0,America/Denver,1977-03-01,2024-09-22,1894-04-02,2024-12-28,1894-01-01,2022-01-01,319645.90833724744
ZRBBD,Mankota,CA,SK,71204,,49.1,-107.02,830.0,America/Swift_Current,2020-01-01,2022-12-14,2000-01-01,2023-07-13,2000-01-01,2021-01-01,320222.41418224666
R64JE,Sedalia AGCM,CA,AB,71399,,51.59,-110.75,755.0,America/Edmonton,2020-01-01,2022-12-14,2007-09-01,2022-12-11,2007-01-01,2022-01-01,321542.83508096327
