fip_code,STATE_fip,COUNTY_fip,CENTROID_LAT,CENTROID_LON,Population_centroid_lat,Population_centroid_long,Population,county_name,state,Location Name,Latitude,Longitude,Year,Station_WMO,Station_Latitude,Station_Longitude,Distance_Miles,Status,HDD_base65F,CDD_base65F,QC_Missing_Data,QC_Extreme_Temperature,QC_Sudden_Temp_Jumps,QC_Constant_Temp_Periods,QC_Day-Night_Swings,QC_Summer_Freezing,QC_Winter_Extreme_Heat,QC_Missing_Temperature_Data,Temp_Total_Holes,Temp_Interpolated,Temp_MERRA2_Fill,Dewpoint_Total_Holes,Dewpoint_Interpolated,Dewpoint_MERRA2_Fill,RH_Total_Holes,RH_Interpolated,RH_MERRA2_Fill,Pressure_Total_Holes,Pressure_Interpolated,Pressure_MERRA2_Fill,WindDir_Total_Holes,WindDir_Interpolated,WindDir_MERRA2_Fill,WindSpeed_Total_Holes,WindSpeed_Interpolated,WindSpeed_MERRA2_Fill,Snow_Total_Holes,Snow_Interpolated,Snow_MERRA2_Fill,Precipitation_Total_Holes,Precipitation_Interpolated,Precipitation_MERRA2_Fill
G0100010,1,1,32.5321596,-86.6464695,32.500389,-86.494165,54571.0,Autauga,Alabama,G0100010,32.500389,-86.494165,2014,KTOI0,31.8604,-86.0121,52.440513659205365,True,2579.0,1978.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.0,478.0,519.0,0.0,0.0,0.0,8760.0,0.0,8760.0,20.0,5.0,15.0
G0100030,1,3,30.6592183,-87.7460666,30.548923,-87.762381,182265.0,Baldwin,Alabama,G0100030,30.548923,-87.762381,2014,KBFM0,30.6268,-88.0681,18.963248791921323,True,1980.0,2377.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,36.0,8.0,0.0,0.0,0.0,8760.0,0.0,8760.0,47.0,15.0,32.0
G0100050,1,5,31.8702531,-85.4051035,31.844036,-85.310038,27457.0,Barbour,Alabama,G0100050,31.844036,-85.310038,2014,KDHN0,31.321,-85.4495,37.05883379763002,True,2224.0,2149.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,124.0,85.0,39.0,0.0,0.0,0.0,8760.0,0.0,8760.0,6.0,6.0,0.0
G0100070,1,7,33.0158929,-87.1271475,33.030921,-87.127659,22915.0,Bibb,Alabama,G0100070,33.030921,-87.127659,2014,KTCL0,33.2206,-87.6114,30.907170196393928,True,2893.0,2035.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,11.0,649.0,334.0,315.0,0.0,0.0,0.0,8760.0,0.0,8760.0,41.0,21.0,20.0
G0100090,1,9,33.9773575,-86.56644,33.955243,-86.591491,57322.0,Blount,Alabama,G0100090,33.955243,-86.591491,2014,72228,33.5667,-86.75,28.34771913961964,True,3060.0,1993.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,313.0,263.0,0.0,0.0,0.0,8760.0,0.0,8760.0,3.0,3.0,0.0
G0100110,1,11,32.1017589,-85.7172613,32.116327,-85.701192,10914.0,Bullock,Alabama,G0100110,32.116327,-85.701192,2014,KTOI0,31.8604,-86.0121,25.38980736612887,True,2579.0,1978.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.0,478.0,519.0,0.0,0.0,0.0,8760.0,0.0,8760.0,20.0,5.0,15.0
G0100130,1,13,31.751667,-86.6819689,31.773539,-86.65355,20947.0,Butler,Alabama,G0100130,31.773539,-86.65355,2014,KGZH0,31.4158,-87.0441,33.752601178023006,True,2329.0,2201.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,12.0,1118.0,502.0,616.0,0.0,0.0,0.0,8760.0,0.0,8760.0,11.0,8.0,3.0
G0100150,1,15,33.7717061,-85.8225133,33.72546,-85.819442,118572.0,Calhoun,Alabama,G0100150,33.72546,-85.819442,2014,KANB0,33.5882,-85.8581,9.74086180969974,True,3241.0,1736.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,4.0,3.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,319.0,196.0,123.0,0.0,0.0,0.0,8760.0,0.0,8760.0,4.0,4.0,0.0
G0100170,1,17,32.9155039,-85.3940321,32.860439,-85.266474,34215.0,Chambers,Alabama,G0100170,32.860439,-85.266474,2014,KCSG0,32.5163,-84.9389,30.46675386067428,True,2555.0,2111.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,642.0,317.0,325.0,0.0,0.0,0.0,8760.0,0.0,8760.0,9.0,6.0,3.0
G0100190,1,19,34.0695153,-85.6542417,34.179333,-85.629194,25989.0,Cherokee,Alabama,G0100190,34.179333,-85.629194,2014,72320,34.35,-85.1667,28.922257662929496,True,3640.0,1487.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,789.0,399.0,390.0,0.0,0.0,0.0,8760.0,0.0,8760.0,25.0,9.0,16.0
