fip_code,STATE_fip,COUNTY_fip,CENTROID_LAT,CENTROID_LON,Population_centroid_lat,Population_centroid_long,Population,county_name,state,Location Name,Latitude,Longitude,Year
G0100590,1,59,34.4419892,-87.8428144,34.460481,-87.793594,31704,Franklin,Alabama,G0100590,34.460481,-87.793594,2017
G0100610,1,61,31.0923933,-85.821011,31.09426,-85.788849,26790,Geneva,Alabama,G0100610,31.09426,-85.788849,2017
G0100630,1,63,32.8444965,-87.9642005,32.830505,-87.924,9045,Greene,Alabama,G0100630,32.830505,-87.924,2017
G0100650,1,65,32.7527958,-87.6230608,32.775804,-87.626084,15760,Hale,Alabama,G0100650,32.775804,-87.626084,2017
G0100670,1,67,31.5169779,-85.2399712,31.478593,-85.268828,17302,Henry,Alabama,G0100670,31.478593,-85.268828,2017
G0100690,1,69,31.1581928,-85.2963976,31.20455,-85.391221,101547,Houston,Alabama,G0100690,31.20455,-85.391221,2017
G0100710,1,71,34.764114,-85.9800556,34.731984,-85.938698,53227,Jackson,Alabama,G0100710,34.731984,-85.938698,2017
G0100730,1,73,33.5534439,-86.8965359,33.518601,-86.814688,658466,Jefferson,Alabama,G0100730,33.518601,-86.814688,2017
G0100750,1,75,33.7870852,-88.0874309,33.762769,-88.109649,14564,Lamar,Alabama,G0100750,33.762769,-88.109649,2017
G0100770,1,77,34.9041221,-87.6509966,34.866179,-87.608759,92709,Lauderdale,Alabama,G0100770,34.866179,-87.608759,2017
G0100790,1,79,34.529776,-87.3218651,34.543683,-87.272414,34339,Lawrence,Alabama,G0100790,34.543683,-87.272414,2017
G0100810,1,81,32.6040644,-85.3530477,32.588092,-85.345833,140247,Lee,Alabama,G0100810,32.588092,-85.345833,2017
G0100830,1,83,34.8102387,-86.9813995,34.815612,-86.938972,82782,Limestone,Alabama,G0100830,34.815612,-86.938972,2017
G0100850,1,85,32.147888,-86.6505859,32.162415,-86.618688,11299,Lowndes,Alabama,G0100850,32.162415,-86.618688,2017
G0100870,1,87,32.3870267,-85.692887,32.425739,-85.715007,21452,Macon,Alabama,G0100870,32.425739,-85.715007,2017
G0100890,1,89,34.7642377,-86.5510802,34.746392,-86.613232,334811,Madison,Alabama,G0100890,34.746392,-86.613232,2017
G0100910,1,91,32.2475911,-87.791091,32.340479,-87.800648,21027,Marengo,Alabama,G0100910,32.340479,-87.800648,2017
G0100930,1,93,34.1382194,-87.881551,34.111797,-87.8743,30776,Marion,Alabama,G0100930,34.111797,-87.8743,2017
G0100950,1,95,34.3095637,-86.3216681,34.311974,-86.293279,93019,Marshall,Alabama,G0100950,34.311974,-86.293279,2017
G0100970,1,97,30.6845725,-88.1965682,30.683993,-88.170637,412992,Mobile,Alabama,G0100970,30.683993,-88.170637,2017
G0100990,1,99,31.5803324,-87.3832656,31.505611,-87.360894,23068,Monroe,Alabama,G0100990,31.505611,-87.360894,2017
G0101010,1,101,32.2036505,-86.2038308,32.346175,-86.243797,229363,Montgomery,Alabama,G0101010,32.346175,-86.243797,2017
G0101030,1,103,34.4544844,-86.8464021,34.514252,-86.930781,119490,Morgan,Alabama,G0101030,34.514252,-86.930781,2017
G0101050,1,105,32.6390053,-87.2938269,32.581066,-87.369219,10591,Perry,Alabama,G0101050,32.581066,-87.369219,2017
G0101070,1,107,33.2967933,-88.0968631,33.292973,-88.066472,19746,Pickens,Alabama,G0101070,33.292973,-88.066472,2017
G0101090,1,109,31.7986508,-85.9416035,31.787277,-85.948647,32899,Pike,Alabama,G0101090,31.787277,-85.948647,2017
G0101110,1,111,33.2964753,-85.4640679,33.257607,-85.427266,22913,Randolph,Alabama,G0101110,33.257607,-85.427266,2017
G0101130,1,113,32.2898113,-85.1869798,32.421972,-85.062843,52947,Russell,Alabama,G0101130,32.421972,-85.062843,2017
G0101150,1,115,33.7129627,-86.3156631,33.660628,-86.369107,83593,St. Clair,Alabama,G0101150,33.660628,-86.369107,2017
G0101170,1,117,33.2630428,-86.6780894,33.290719,-86.737978,195085,Shelby,Alabama,G0101170,33.290719,-86.737978,2017
G0101190,1,119,32.5974811,-88.2000571,32.57442,-88.232646,13763,Sumter,Alabama,G0101190,32.57442,-88.232646,2017
G0101210,1,121,33.3692774,-86.1758045,33.372083,-86.169238,82291,Talladega,Alabama,G0101210,33.372083,-86.169238,2017
G0101230,1,123,32.8633694,-85.7995532,32.85306,-85.864503,41616,Tallapoosa,Alabama,G0101230,32.85306,-85.864503,2017
G0101250,1,125,33.2902485,-87.5227591,33.214154,-87.520229,194656,Tuscaloosa,Alabama,G0101250,33.214154,-87.520229,2017
G0101270,1,127,33.7915581,-87.3010937,33.834858,-87.253922,67023,Walker,Alabama,G0101270,33.834858,-87.253922,2017
G0101290,1,129,31.4052172,-88.1975644,31.410368,-88.18612,17581,Washington,Alabama,G0101290,31.410368,-88.18612,2017
G0101310,1,131,31.9900845,-87.3049075,31.999753,-87.380407,11670,Wilcox,Alabama,G0101310,31.999753,-87.380407,2017
G0101330,1,133,34.1546073,-87.36529,34.163824,-87.415693,24484,Winston,Alabama,G0101330,34.163824,-87.415693,2017
G0200200,2,20,61.1742503,-149.2843294,61.192232,-149.793182,291826,Anchorage,Alaska,G0200200,61.192232,-149.793182,2017
G0200500,2,50,60.9291413,-160.1526246,60.679946,-162.151263,17013,Bethel,Alaska,G0200500,60.679946,-162.151263,2017
G0200600,2,60,58.7301584,-156.9966325,58.735464,-156.834047,997,Bristol Bay,Alaska,G0200600,58.735464,-156.834047,2017
G0200680,2,68,63.6811063,-150.0265438,63.882845,-149.032949,1826,Denali,Alaska,G0200680,63.882845,-149.032949,2017
G0200700,2,70,59.824816,-158.6022333,59.136256,-158.718472,4847,Dillingham,Alaska,G0200700,59.136256,-158.718472,2017
G0200900,2,90,64.6882063,-146.589255,64.831552,-147.624018,97581,Fairbanks North Star,Alaska,G0200900,64.831552,-147.624018,2017
G0201100,2,110,58.3729099,-134.1784454,58.358516,-134.530605,31275,Juneau,Alaska,G0201100,58.358516,-134.530605,2017
G0201220,2,122,60.3666677,-152.3222833,60.292592,-151.064475,55400,Kenai Peninsula,Alaska,G0201220,60.292592,-151.064475,2017
G0201300,2,130,55.4499378,-131.1066847,55.367858,-131.678527,13477,Ketchikan Gateway,Alaska,G0201300,55.367858,-131.678527,2017
G0201500,2,150,57.5020153,-153.5635123,57.779137,-152.460881,13592,Kodiak Island,Alaska,G0201500,57.779137,-152.460881,2017
G0201640,2,164,58.2050652,-156.7051884,58.557351,-156.371652,1631,Lake and Peninsula,Alaska,G0201640,58.557351,-156.371652,2017
G0201700,2,170,62.1822498,-149.4077873,61.611281,-149.421961,88995,Matanuska-Susitna,Alaska,G0201700,61.611281,-149.421961,2017
G0201800,2,180,64.7836858,-164.1889119,64.457026,-165.295491,9492,Nome,Alaska,G0201800,64.457026,-165.295491,2017
G0201850,2,185,69.4493427,-153.4728302,70.522779,-154.862085,9430,North Slope,Alaska,G0201850,70.522779,-154.862085,2017
G0201880,2,188,67.0050655,-160.0210864,66.943735,-161.638185,7523,Northwest Arctic,Alaska,G0201880,66.943735,-161.638185,2017
G0202200,2,220,57.1932044,-135.3673965,57.062746,-135.337171,8881,Sitka,Alaska,G0202200,57.062746,-135.337171,2017
G0202400,2,240,63.8649972,-143.2186282,63.856185,-144.687024,7029,Southeast Fairbanks,Alaska,G0202400,63.856185,-144.687024,2017
G0202610,2,261,61.3498403,-145.0231406,61.26149,-145.882504,9636,Valdez-Cordova,Alaska,G0202610,61.26149,-145.882504,2017
G0400010,4,1,35.385084,-109.4901722,35.577687,-109.41484,71518,Apache,Arizona,G0400010,35.577687,-109.41484,2017
G0400030,4,3,31.8401287,-109.7751627,31.607357,-110.063053,131346,Cochise,Arizona,G0400030,31.607357,-110.063053,2017
G0400050,4,5,35.8296919,-111.7737277,35.514426,-111.590056,134421,Coconino,Arizona,G0400050,35.514426,-111.590056,2017
G0400070,4,7,33.7896177,-110.8118696,33.82356,-111.007494,53597,Gila,Arizona,G0400070,33.82356,-111.007494,2017
G0400090,4,9,32.9318277,-109.8783103,32.86733,-109.812181,37220,Graham,Arizona,G0400090,32.86733,-109.812181,2017
G0400110,4,11,33.2388723,-109.2423231,32.970402,-109.248712,8437,Greenlee,Arizona,G0400110,32.970402,-109.248712,2017
G0400120,4,12,33.7276104,-114.038806,33.908361,-114.172146,20489,La Paz,Arizona,G0400120,33.908361,-114.172146,2017
G0400130,4,13,33.3465408,-112.4955335,33.493403,-112.04143,3817117,Maricopa,Arizona,G0400130,33.493403,-112.04143,2017
G0400150,4,15,35.717705,-113.7496891,35.069679,-114.249634,200186,Mohave,Arizona,G0400150,35.069679,-114.249634,2017
G0400170,4,17,35.3907852,-110.3210248,34.893625,-110.211155,107449,Navajo,Arizona,G0400170,34.893625,-110.211155,2017
G0400190,4,19,32.1285226,-111.7830267,32.216707,-110.96001,980263,Pima,Arizona,G0400190,32.216707,-110.96001,2017
G0400210,4,21,32.9190383,-111.3670054,33.060133,-111.588364,375770,Pinal,Arizona,G0400210,33.060133,-111.588364,2017
G0400230,4,23,31.525733,-110.8452278,31.434733,-110.943195,47420,Santa Cruz,Arizona,G0400230,31.434733,-110.943195,2017
G0400250,4,25,34.6312117,-112.5773855,34.629014,-112.267767,211033,Yavapai,Arizona,G0400250,34.629014,-112.267767,2017
G0400270,4,27,32.7739424,-113.910905,32.65004,-114.598663,195751,Yuma,Arizona,G0400270,32.65004,-114.598663,2017
G0500010,5,1,34.2895697,-91.3765466,34.405316,-91.461284,19019,Arkansas,Arkansas,G0500010,34.405316,-91.461284,2017
G0500030,5,3,33.1908354,-91.7722672,33.179373,-91.87136,21853,Ashley,Arkansas,G0500030,33.179373,-91.87136,2017
G0500050,5,5,36.28071,-92.3304383,36.332208,-92.383933,41513,Baxter,Arkansas,G0500050,36.332208,-92.383933,2017
G0500070,5,7,36.3378246,-94.2561871,36.337348,-94.230543,221339,Benton,Arkansas,G0500070,36.337348,-94.230543,2017
G0500090,5,9,36.3043077,-93.0792041,36.267871,-93.099344,36903,Boone,Arkansas,G0500090,36.267871,-93.099344,2017
G0500110,5,11,33.4665491,-92.1691559,33.569321,-92.103312,11508,Bradley,Arkansas,G0500110,33.569321,-92.103312,2017
G0500130,5,13,33.5604604,-92.513879,33.591116,-92.495555,5368,Calhoun,Arkansas,G0500130,33.591116,-92.495555,2017
G0500150,5,15,36.3377742,-93.5416633,36.373069,-93.570816,27446,Carroll,Arkansas,G0500150,36.373069,-93.570816,2017
G0500170,5,17,33.2671393,-91.2971578,33.32186,-91.318378,11800,Chicot,Arkansas,G0500170,33.32186,-91.318378,2017
G0500190,5,19,34.0533162,-93.1762085,34.094705,-93.124856,22995,Clark,Arkansas,G0500190,34.094705,-93.124856,2017
G0500210,5,21,36.3673021,-90.4187041,36.370695,-90.372418,16083,Clay,Arkansas,G0500210,36.370695,-90.372418,2017
G0500230,5,23,35.5663146,-92.0599504,35.510232,-92.037481,25970,Cleburne,Arkansas,G0500230,35.510232,-92.037481,2017
G0500250,5,25,33.8932006,-92.1887141,33.914989,-92.139146,8689,Cleveland,Arkansas,G0500250,33.914989,-92.139146,2017
G0500270,5,27,33.2230377,-93.2328433,33.258045,-93.247459,24552,Columbia,Arkansas,G0500270,33.258045,-93.247459,2017
G0500290,5,29,35.265702,-92.6892479,35.214487,-92.70416,21273,Conway,Arkansas,G0500290,35.214487,-92.70416,2017
G0500310,5,31,35.8277285,-90.6314213,35.835235,-90.669325,96443,Craighead,Arkansas,G0500310,35.835235,-90.669325,2017
G0500330,5,33,35.5830407,-94.2362241,35.496882,-94.28436,61948,Crawford,Arkansas,G0500330,35.496882,-94.28436,2017
G0500350,5,35,35.2118784,-90.3153314,35.17736,-90.217261,50902,Crittenden,Arkansas,G0500350,35.17736,-90.217261,2017
G0500370,5,37,35.2856921,-90.7639835,35.252833,-90.775307,17870,Cross,Arkansas,G0500370,35.252833,-90.775307,2017
G0500390,5,39,33.9678233,-92.6539989,33.869213,-92.527123,8116,Dallas,Arkansas,G0500390,33.869213,-92.527123,2017
G0500410,5,41,33.8287478,-91.2444274,33.773838,-91.417485,13008,Desha,Arkansas,G0500410,33.773838,-91.417485,2017
G0500430,5,43,33.5872418,-91.7227781,33.6274,-91.781779,18509,Drew,Arkansas,G0500430,33.6274,-91.781779,2017
G0500450,5,45,35.1463428,-92.3246456,35.104918,-92.405359,113237,Faulkner,Arkansas,G0500450,35.104918,-92.405359,2017
G0500470,5,47,35.5085579,-93.8876648,35.446102,-93.885464,18125,Franklin,Arkansas,G0500470,35.446102,-93.885464,2017
G0500490,5,49,36.3836192,-91.8196636,36.376787,-91.764934,12245,Fulton,Arkansas,G0500490,36.376787,-91.764934,2017
G0500510,5,51,34.5788613,-93.1469148,34.505811,-93.081852,96024,Garland,Arkansas,G0500510,34.505811,-93.081852,2017
G0500530,5,53,34.2855683,-92.4229794,34.309174,-92.412714,17853,Grant,Arkansas,G0500530,34.309174,-92.412714,2017
G0500550,5,55,36.1206248,-90.5663705,36.07312,-90.523016,42090,Greene,Arkansas,G0500550,36.07312,-90.523016,2017
G0500570,5,57,33.7286109,-93.6658093,33.699647,-93.623587,22609,Hempstead,Arkansas,G0500570,33.699647,-93.623587,2017
G0500590,5,59,34.3151767,-92.9441474,34.353464,-92.894595,32923,Hot Spring,Arkansas,G0500590,34.353464,-92.894595,2017
G0500610,5,61,34.0830639,-93.9909315,33.983198,-93.910184,13789,Howard,Arkansas,G0500610,33.983198,-93.910184,2017
G0500630,5,63,35.7374992,-91.5599423,35.749801,-91.607539,36647,Independence,Arkansas,G0500630,35.749801,-91.607539,2017
G0500650,5,65,36.0948792,-91.9136252,36.120217,-91.908429,13696,Izard,Arkansas,G0500650,36.120217,-91.908429,2017
G0500670,5,67,35.5966053,-91.223178,35.621102,-91.246233,17997,Jackson,Arkansas,G0500670,35.621102,-91.246233,2017
G0500690,5,69,34.2776955,-91.9307012,34.233473,-92.041179,77435,Jefferson,Arkansas,G0500690,34.233473,-92.041179,2017
G0500710,5,71,35.5733586,-93.4663223,35.475272,-93.475517,25540,Johnson,Arkansas,G0500710,35.475272,-93.475517,2017
G0500730,5,73,33.2406596,-93.6116427,33.287629,-93.557538,7645,Lafayette,Arkansas,G0500730,33.287629,-93.557538,2017
G0500750,5,75,36.0410983,-91.1011529,36.070224,-91.065733,17415,Lawrence,Arkansas,G0500750,36.070224,-91.065733,2017
G0500770,5,77,34.7798576,-90.7793454,34.785214,-90.774516,10424,Lee,Arkansas,G0500770,34.785214,-90.774516,2017
G0500790,5,79,33.957675,-91.7276258,33.975379,-91.746234,14134,Lincoln,Arkansas,G0500790,33.975379,-91.746234,2017
G0500810,5,81,33.699497,-94.2297741,33.700518,-94.195995,13171,Little River,Arkansas,G0500810,33.700518,-94.195995,2017
G0500830,5,83,35.2186538,-93.7209102,35.227532,-93.768119,22353,Logan,Arkansas,G0500830,35.227532,-93.768119,2017
G0500850,5,85,34.7551137,-91.894132,34.905178,-91.970577,68356,Lonoke,Arkansas,G0500850,34.905178,-91.970577,2017
G0500870,5,87,36.0125452,-93.7240531,36.061309,-93.755297,15717,Madison,Arkansas,G0500870,36.061309,-93.755297,2017
G0500890,5,89,36.266672,-92.6785674,36.28457,-92.663368,16653,Marion,Arkansas,G0500890,36.28457,-92.663368,2017
G0500910,5,91,33.3055054,-93.9015018,33.400831,-93.987504,43462,Miller,Arkansas,G0500910,33.400831,-93.987504,2017
G0500930,5,93,35.7669426,-90.0522086,35.84288,-89.999037,46480,Mississippi,Arkansas,G0500930,35.84288,-89.999037,2017
G0500950,5,95,34.6795117,-91.2033099,34.777729,-91.218021,8149,Monroe,Arkansas,G0500950,34.777729,-91.218021,2017
G0500970,5,97,34.5455805,-93.6633299,34.517013,-93.622663,9487,Montgomery,Arkansas,G0500970,34.517013,-93.622663,2017
G0500990,5,99,33.6666991,-93.3050716,33.722168,-93.358085,8997,Nevada,Arkansas,G0500990,33.722168,-93.358085,2017
G0501010,5,101,35.9107424,-93.2158985,35.98494,-93.1705,8330,Newton,Arkansas,G0501010,35.98494,-93.1705,2017
G0501030,5,103,33.5911595,-92.8784155,33.574461,-92.838871,26120,Ouachita,Arkansas,G0501030,33.574461,-92.838871,2017
G0501050,5,105,34.9463629,-92.9268773,34.999054,-92.779271,10445,Perry,Arkansas,G0501050,34.999054,-92.779271,2017
G0501070,5,107,34.4236874,-90.8555931,34.529768,-90.707796,21757,Phillips,Arkansas,G0501070,34.529768,-90.707796,2017
G0501090,5,109,34.1581907,-93.6586589,34.187298,-93.624765,11291,Pike,Arkansas,G0501090,34.187298,-93.624765,2017
G0501110,5,111,35.5688702,-90.6811037,35.60191,-90.557998,24583,Poinsett,Arkansas,G0501110,35.60191,-90.557998,2017
G0501130,5,113,34.4909149,-94.2308841,34.52045,-94.258519,20662,Polk,Arkansas,G0501130,34.52045,-94.258519,2017
G0501150,5,115,35.456557,-93.0268181,35.309776,-93.097238,61754,Pope,Arkansas,G0501150,35.309776,-93.097238,2017
G0501170,5,117,34.8311162,-91.5536205,34.859177,-91.536241,8715,Prairie,Arkansas,G0501170,34.859177,-91.536241,2017
G0501190,5,119,34.7739877,-92.3165149,34.773719,-92.311659,382748,Pulaski,Arkansas,G0501190,34.773719,-92.311659,2017
G0501210,5,121,36.3412985,-91.0284409,36.304758,-90.98842,17969,Randolph,Arkansas,G0501210,36.304758,-90.98842,2017
G0501230,5,123,35.0140258,-90.7421378,35.015313,-90.770297,28258,St. Francis,Arkansas,G0501230,35.015313,-90.770297,2017
G0501250,5,125,34.6485246,-92.674463,34.593233,-92.546163,107118,Saline,Arkansas,G0501250,34.593233,-92.546163,2017
G0501270,5,127,34.8588693,-94.0636413,34.907145,-94.095905,11233,Scott,Arkansas,G0501270,34.907145,-94.095905,2017
G0501290,5,129,35.8963868,-92.6958884,35.922829,-92.659155,8195,Searcy,Arkansas,G0501290,35.922829,-92.659155,2017
G0501310,5,131,35.1969808,-94.2749889,35.318195,-94.354435,125744,Sebastian,Arkansas,G0501310,35.318195,-94.354435,2017
G0501330,5,133,33.9946083,-94.2432898,34.014236,-94.304091,17058,Sevier,Arkansas,G0501330,34.014236,-94.304091,2017
G0501350,5,135,36.1733989,-91.4710689,36.178493,-91.520168,17264,Sharp,Arkansas,G0501350,36.178493,-91.520168,2017
G0501370,5,137,35.8570312,-92.1405728,35.856705,-92.137,12394,Stone,Arkansas,G0501370,35.856705,-92.137,2017
G0501390,5,139,33.1682186,-92.5981447,33.20687,-92.64508,41639,Union,Arkansas,G0501390,33.20687,-92.64508,2017
G0501410,5,141,35.5829588,-92.5159772,35.567839,-92.421475,17295,Van Buren,Arkansas,G0501410,35.567839,-92.421475,2017
G0501430,5,143,35.9712088,-94.2184168,36.094275,-94.172222,203065,Washington,Arkansas,G0501430,36.094275,-94.172222,2017
G0501450,5,145,35.2547221,-91.7531583,35.243736,-91.767388,77076,White,Arkansas,G0501450,35.243736,-91.767388,2017
G0501490,5,149,34.9977133,-93.4083032,35.120982,-93.28946,22185,Yell,Arkansas,G0501490,35.120982,-93.28946,2017
G0600010,6,1,37.6483273,-121.9129276,37.705201,-122.100393,1510271,Alameda,California,G0600010,37.705201,-122.100393,2017
G0600030,6,3,38.6217831,-119.7983522,38.728298,-119.847603,1175,Alpine,California,G0600030,38.728298,-119.847603,2017
G0600050,6,5,38.4435501,-120.6538563,38.394208,-120.775729,38091,Amador,California,G0600050,38.394208,-120.775729,2017
G0600070,6,7,39.6659588,-121.6019188,39.669037,-121.707635,220000,Butte,California,G0600070,39.669037,-121.707635,2017
G0600090,6,9,38.1838998,-120.5614422,38.163627,-120.633718,45578,Calaveras,California,G0600090,38.163627,-120.633718,2017
G0600110,6,11,39.1777385,-122.2375629,39.156148,-122.085557,21419,Colusa,California,G0600110,39.156148,-122.085557,2017
G0600130,6,13,37.919479,-121.9515431,37.935588,-122.030131,1049025,Contra Costa,California,G0600130,37.935588,-122.030131,2017
G0600150,6,15,41.7499033,-123.9809983,41.791232,-124.163088,28610,Del Norte,California,G0600150,41.791232,-124.163088,2017
G0600170,6,17,38.785532,-120.5343981,38.746543,-120.74433,181058,El Dorado,California,G0600170,38.746543,-120.74433,2017
G0600190,6,19,36.7610058,-119.6550193,36.738918,-119.767884,930450,Fresno,California,G0600190,36.738918,-119.767884,2017
G0600210,6,21,39.6025462,-122.4016998,39.663418,-122.177491,28122,Glenn,California,G0600210,39.663418,-122.177491,2017
G0600230,6,23,40.7066731,-123.9258181,40.752982,-124.087189,134623,Humboldt,California,G0600230,40.752982,-124.087189,2017
G0600250,6,25,33.0408143,-115.3554001,32.841101,-115.534487,174528,Imperial,California,G0600250,32.841101,-115.534487,2017
G0600270,6,27,36.561977,-117.4039269,37.160247,-118.267513,18546,Inyo,California,G0600270,37.160247,-118.267513,2017
G0600290,6,29,35.3466288,-118.7295064,35.372968,-118.936004,839631,Kern,California,G0600290,35.372968,-118.936004,2017
G0600310,6,31,36.072478,-119.8155301,36.242749,-119.729084,152982,Kings,California,G0600310,36.242749,-119.729084,2017
G0600330,6,33,39.0948019,-122.7467569,38.973362,-122.734609,64665,Lake,California,G0600330,38.973362,-122.734609,2017
G0600350,6,35,40.7210862,-120.6299518,40.392397,-120.579176,34895,Lassen,California,G0600350,40.392397,-120.579176,2017
G0600370,6,37,34.1963983,-118.2618616,34.065193,-118.244222,9818605,Los Angeles,California,G0600370,34.065193,-118.244222,2017
G0600390,6,39,37.2098213,-119.7498023,37.043099,-120.00675,150865,Madera,California,G0600390,37.043099,-120.00675,2017
G0600410,6,41,38.0518169,-122.7459738,37.986705,-122.547075,252409,Marin,California,G0600410,37.986705,-122.547075,2017
G0600430,6,43,37.5700335,-119.9128599,37.542748,-119.957219,18251,Mariposa,California,G0600430,37.542748,-119.957219,2017
G0600450,6,45,39.4323876,-123.4428811,39.285329,-123.397227,87841,Mendocino,California,G0600450,39.285329,-123.397227,2017
G0600470,6,47,37.1948063,-120.7228019,37.281016,-120.623989,255793,Merced,California,G0600470,37.281016,-120.623989,2017
G0600490,6,49,41.5929185,-120.7183704,41.522584,-120.650911,9686,Modoc,California,G0600490,41.522584,-120.650911,2017
G0600510,6,51,37.9158363,-118.8751668,37.763322,-118.970594,14202,Mono,California,G0600510,37.763322,-118.970594,2017
G0600530,6,53,36.240107,-121.3155732,36.611722,-121.646162,415057,Monterey,California,G0600530,36.611722,-121.646162,2017
G0600550,6,55,38.5070999,-122.3259045,38.329075,-122.321646,136484,Napa,California,G0600550,38.329075,-122.321646,2017
G0600570,6,57,39.2975082,-120.7713429,39.219524,-120.916546,98764,Nevada,California,G0600570,39.219524,-120.916546,2017
G0600590,6,59,33.6756872,-117.7772068,33.733953,-117.86288,3010232,Orange,California,G0600590,33.733953,-117.86288,2017
G0600610,6,61,39.0620324,-120.7227181,38.844511,-121.182466,348432,Placer,California,G0600610,38.844511,-121.182466,2017
G0600630,6,63,39.9922953,-120.8243709,39.983857,-120.825847,20007,Plumas,California,G0600630,39.983857,-120.825847,2017
G0600650,6,65,33.7298275,-116.0022389,33.800439,-117.066205,2189641,Riverside,California,G0600650,33.800439,-117.066205,2017
G0600670,6,67,38.4500114,-121.3404409,38.56895,-121.380861,1418788,Sacramento,California,G0600670,38.56895,-121.380861,2017
G0600690,6,69,36.6107024,-121.085296,36.843404,-121.403859,55269,San Benito,California,G0600690,36.843404,-121.403859,2017
G0600710,6,71,34.8572198,-116.1811967,34.190248,-117.357474,2035210,San Bernardino,California,G0600710,34.190248,-117.357474,2017
