zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Distance [km],Distamce [mi],Location,zip0,weather_station_wmo_2022,hdd_base65F_2022,cdd_base65F_2022,distance_location_station_miles_2022,EPW_file_name_2022
4901,44.55442,-69.57048,Waterville,ME,Maine,TRUE,,26834,131.5,23011,Kennebec,"{""23011"": ""100""}",Kennebec,23011,FALSE,FALSE,America/New_York,8.647831067,5.371323644,Waterville / Oakland,4901,KWVL0,7068,431,5.373573007,KWVL0_2022.epw
55741,47.4633,-92.39795,Gilbert,MN,Minnesota,TRUE,,3558,21,27137,St. Louis,"{""27137"": ""100""}",St. Louis,27137,FALSE,FALSE,America/Chicago,8.646715573,5.370630791,Eveleth / Genoa,55741,KEVM0,10284,143,5.372879864,KEVM0_2022.epw
98404,47.20975,-122.41008,Tacoma,WA,Washington,TRUE,,35100,1781.9,53053,Pierce,"{""53053"": ""100""}",Pierce,53053,FALSE,FALSE,America/Los_Angeles,8.646698881,5.370620423,Tacoma / McChord Air Force Base,98404,74206,5438,253,5.372869492,74206_2022.epw
96797,21.42424,-157.97898,Waipahu,HI,Hawaii,TRUE,,74262,835.4,15003,Honolulu,"{""15003"": ""100""}",Honolulu,15003,FALSE,FALSE,Pacific/Honolulu,8.644664095,5.369356581,Wheeler Air Force Base / Oahu,96797,91170,1,2774,5.37160512,91170_2022.epw
97208,45.52866,-122.67898,Portland,OR,Oregon,TRUE,,0,0,41051,Multnomah,"{""41051"": ""0""}",Multnomah,41051,FALSE,FALSE,America/Los_Angeles,8.644590232,5.369310703,Portland International  Airport,97208,72698,4304,724,5.371559223,72698_2022.epw
44048,41.84626,-80.64558,Kingsville,OH,Ohio,TRUE,,2529,32.1,39007,Ashtabula,"{""39007"": ""100""}",Ashtabula,39007,FALSE,FALSE,America/New_York,8.644500242,5.369254809,Ashtabula / Bulah,44048,KHZY0,6031,690,5.371503305,KHZY0_2022.epw
5142,43.403,-72.58629,Cavendish,VT,Vermont,TRUE,,741,10.6,50027,Windsor,"{""50027"": ""100""}",Windsor,50027,FALSE,FALSE,America/New_York,8.644093731,5.369002317,Springfield / Kendricks Corner,5142,KVSF0,6937,512,5.371250708,KVSF0_2022.epw
27932,36.1007,-76.60012,Edenton,NC,North Carolina,TRUE,,12455,40.7,37041,Chowan,"{""37041"": ""100""}",Chowan,37041,FALSE,FALSE,America/New_York,8.642830072,5.368217436,Edenton / Cape Colony,27932,KEDE0,2663,2026,5.370465498,KEDE0_2022.epw
11783,40.67767,-73.49062,Seaford,NY,New York,TRUE,,21265,2315.4,36059,Nassau,"{""36059"": ""100""}",Nassau,36059,FALSE,FALSE,America/New_York,8.642672814,5.36811976,Farmingdale / East Farmingdale,11783,KFRG0,4709,1133,5.370367782,KFRG0_2022.epw
90601,34.00833,-118.03135,Whittier,CA,California,TRUE,,33058,1124.8,6037,Los Angeles,"{""06037"": ""100""}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles,8.642357294,5.367923785,El Monte / Hayes,90601,KEMT0,1498,1498,5.370171724,KEMT0_2022.epw
94568,37.71525,-121.91467,Dublin,CA,California,TRUE,,54420,1374.3,6001,Alameda,"{""06001"": ""100""}",Alameda,6001,FALSE,FALSE,America/Los_Angeles,8.641955132,5.367673995,Livermore / East Pleasanton,94568,KLVK0,2868,891,5.369921829,KLVK0_2022.epw
11425,40.60774,-74.02391,Jamaica,NY,New York,TRUE,,0,0,36047,Kings,"{""36047"": ""0""}",Kings,36047,FALSE,FALSE,America/New_York,8.640667692,5.366874343,Newark Airport,11425,72502,4535,1604,5.369121843,72502_2022.epw
19319,39.92825,-75.52054,Cheyney,PA,Pennsylvania,TRUE,,747,455.9,42045,Delaware,"{""42045"": ""99.82"", ""42029"": ""0.18""}",Delaware|Chester,42045|42029,FALSE,FALSE,America/New_York,8.639985451,5.366450591,West Chester / Commons At Goshen,19319,KOQN0,4783,1193,5.368697913,KOQN0_2022.epw
78730,30.36489,-97.83731,Austin,TX,Texas,TRUE,,9186,243.3,48453,Travis,"{""48453"": ""100""}",Travis,48453,FALSE,FALSE,America/Chicago,8.63880444,5.365717044,Camp Mabry/Austin City Asos,78730,72254,1747,3725,5.367964059,72254_2022.epw
33190,25.55922,-80.34832,Miami,FL,Florida,TRUE,,16305,3538.7,12086,Miami-Dade,"{""12086"": ""100""}",Miami-Dade,12086,FALSE,FALSE,America/New_York,8.638074029,5.365263372,Homestead / Homestead Base,33190,KHST0,123,4464,5.367510197,KHST0_2022.epw
45662,38.78775,-82.92046,Portsmouth,OH,Ohio,TRUE,,30289,217.2,39145,Scioto,"{""39145"": ""100""}",Scioto,39145,FALSE,FALSE,America/New_York,8.636159115,5.364073984,Portsmouth / Wheelers Mill,45662,KPMH0,4663,1172,5.366320311,KPMH0_2022.epw
79764,31.89053,-102.47105,Odessa,TX,Texas,TRUE,,21685,143.7,48135,Ector,"{""48135"": ""100""}",Ector,48135,FALSE,FALSE,America/Chicago,8.635972528,5.363958092,Odessa,79764,KODO0,2633,3064,5.36620437,KODO0_2022.epw
84047,40.61519,-111.89079,Midvale,UT,Utah,TRUE,,33531,2073.3,49035,Salt Lake,"{""49035"": ""100""}",Salt Lake,49035,FALSE,FALSE,America/Denver,8.631929625,5.361446972,Salt Lake City / April Meadows,84047,KU420,6123,1286,5.363692199,KU420_2022.epw
93270,35.95241,-119.07285,Terra Bella,CA,California,TRUE,,5542,34.6,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles,8.631577755,5.361228419,Porterville / Lois,93270,KPTV0,2528,2420,5.363473554,KPTV0_2022.epw
6264,41.6942,-72.10044,Scotland,CT,Connecticut,TRUE,,88,23.5,9015,Windham,"{""09015"": ""100""}",Windham,9015,FALSE,FALSE,America/New_York,8.630586368,5.360612651,Willimantic / Mansfield Hollow,6264,KIJD0,5782,744,5.362857529,KIJD0_2022.epw
44241,41.23941,-81.3472,Streetsboro,OH,Ohio,TRUE,,16638,298.7,39133,Portage,"{""39133"": ""100""}",Portage,39133,FALSE,FALSE,America/New_York,8.629865714,5.36016504,Ravenna / Birchwood Manor,44241,KPOV0,6153,612,5.36240973,KPOV0_2022.epw
30721,34.79162,-84.91407,Dalton,GA,Georgia,TRUE,,53461,166.3,13313,Whitfield,"{""13313"": ""98.45"", ""13213"": ""1.55""}",Whitfield|Murray,13313|13213,FALSE,FALSE,America/New_York,8.628538975,5.359340979,Dalton / Keiths Mill,30721,KDNN0,3094,1652,5.361585324,KDNN0_2022.epw
14206,42.88088,-78.8114,Buffalo,NY,New York,TRUE,,19869,1583.7,36029,Erie,"{""36029"": ""100""}",Erie,36029,FALSE,FALSE,America/New_York,8.627658567,5.358794141,Buffalo Airport,14206,72528,6202,716,5.361038257,72528_2022.epw
3870,43.0152,-70.76077,Rye,NH,New Hampshire,TRUE,,5319,168.1,33015,Rockingham,"{""33015"": ""100""}",Rockingham,33015,FALSE,FALSE,America/New_York,8.627102948,5.358449036,Portsmouth / South Newington,3870,KPSM0,5994,670,5.360693007,KPSM0_2022.epw
60510,41.84212,-88.30552,Batavia,IL,Illinois,TRUE,,29533,439,17089,Kane,"{""17089"": ""99.27"", ""17043"": ""0.73""}",Kane|DuPage,17089|17043,FALSE,FALSE,America/Chicago,8.626112506,5.357833854,Chicago / Surrey Woods,60510,KDPA0,6529,988,5.360077568,KDPA0_2022.epw
78233,29.55554,-98.36173,San Antonio,TX,Texas,TRUE,,48507,1425.1,48029,Bexar,"{""48029"": ""100""}",Bexar,48029,FALSE,FALSE,America/Chicago,8.624603911,5.356896839,San Antonio / Universal City / Airport City,78233,KRND0,1730,3378,5.35914016,KRND0_2022.epw
60178,42.00638,-88.66894,Sycamore,IL,Illinois,TRUE,,22413,124.8,17037,DeKalb,"{""17037"": ""99.03"", ""17089"": ""0.97""}",DeKalb|Kane,17037|17089,FALSE,FALSE,America/Chicago,8.623760433,5.35637294,De Kalb / Cortland,60178,KDKB0,7018,727,5.358616042,KDKB0_2022.epw
52624,40.73642,-91.33752,Denmark,IA,Iowa,TRUE,,268,161.8,19111,Lee,"{""19111"": ""100""}",Lee,19111,FALSE,FALSE,America/Chicago,8.622842142,5.355802573,Fort Madison / Summit (Historical),52624,KFSW0,6066,1230,5.358045436,KFSW0_2022.epw
57427,45.48373,-98.31718,Bath,SD,South Dakota,TRUE,,775,5,46013,Brown,"{""46013"": ""100""}",Brown,46013,FALSE,FALSE,America/Chicago,8.619670863,5.353832834,Aberdeen Regional Airport,57427,72659,8560,853,5.356074873,72659_2022.epw
81073,37.42388,-102.70954,Springfield,CO,Colorado,TRUE,,1839,1.1,8009,Baca,"{""08009"": ""100""}",Baca,8009,FALSE,FALSE,America/Denver,8.618928268,5.353371595,Springfield,81073,KSPD0,5294,1438,5.35561344,KSPD0_2022.epw
31419,31.99574,-81.23582,Savannah,GA,Georgia,TRUE,,58252,349.7,13051,Chatham,"{""13051"": ""100""}",Chatham,13051,FALSE,FALSE,America/New_York,8.616788101,5.352042299,Savannah / Southside Mobile Estates,31419,KSVN0,1501,2448,5.354283587,KSVN0_2022.epw
50664,42.70125,-92.07619,Oran,IA,Iowa,TRUE,,104,1090.7,19065,Fayette,"{""19065"": ""100""}",Fayette,19065,FALSE,FALSE,America/Chicago,8.616643326,5.351952376,Oelwein,50664,KOLZ0,7778,723,5.354193627,KOLZ0_2022.epw
75039,32.88753,-96.94224,Irving,TX,Texas,TRUE,,19297,1417.9,48113,Dallas,"{""48113"": ""100""}",Dallas,48113,FALSE,FALSE,America/Chicago,8.614421406,5.350572302,Dallas/Ft. Worth International  Airport,75039,72259,2269,3411,5.352812975,72259_2022.epw
45213,39.18076,-84.42008,Cincinnati,OH,Ohio,TRUE,,12574,1524.2,39061,Hamilton,"{""39061"": ""100""}",Hamilton,39061,FALSE,FALSE,America/New_York,8.614104676,5.350375575,Cincinnati / Columbia,45213,KLUK0,4920,1116,5.352616166,KLUK0_2022.epw
75216,32.71165,-96.78371,Dallas,TX,Texas,TRUE,,54150,1430.6,48113,Dallas,"{""48113"": ""100""}",Dallas,48113,FALSE,FALSE,America/Chicago,8.61390194,5.350249652,Dallas / Westwood Park,75216,KRBD0,2352,3097,5.35249019,KRBD0_2022.epw
30314,33.7575,-84.43192,Atlanta,GA,Georgia,TRUE,,24446,2038.3,13121,Fulton,"{""13121"": ""100""}",Fulton,13121,FALSE,FALSE,America/New_York,8.612793106,5.349560935,Atlanta / Carroll Heights,30314,KFTY0,2707,1821,5.351801185,KFTY0_2022.epw
41099,39.03607,-84.46812,Newport,KY,Kentucky,TRUE,,1077,1801.6,21037,Campbell,"{""21037"": ""100""}",Campbell,21037,FALSE,FALSE,America/New_York,8.611681448,5.348870465,Cincinnati / Columbia,41099,KLUK0,4920,1116,5.351110425,KLUK0_2022.epw
64138,38.9688,-94.47028,Kansas City,MO,Missouri,TRUE,,26032,750.1,29095,Jackson,"{""29095"": ""100""}",Jackson,29095,FALSE,FALSE,America/Chicago,8.608674879,5.34700303,Lees Summit / Unity Village,64138,KLXT0,5102,1643,5.349242209,KLXT0_2022.epw
31533,31.54914,-82.82861,Douglas,GA,Georgia,TRUE,,16499,95.1,13069,Coffee,"{""13069"": ""100""}",Coffee,13069,FALSE,FALSE,America/New_York,8.606893648,5.345896676,Douglas / Bethel,31533,KDQH0,1544,2300,5.348135391,KDQH0_2022.epw
2081,42.14652,-71.25883,Walpole,MA,Massachusetts,TRUE,,19378,417.4,25021,Norfolk,"{""25021"": ""100""}",Norfolk,25021,FALSE,FALSE,America/New_York,8.606325587,5.345543843,Norwood,2081,KOWD0,5203,934,5.34778241,KOWD0_2022.epw
29469,33.24879,-80.08945,Pinopolis,SC,South Carolina,TRUE,,880,15.5,45015,Berkeley,"{""45015"": ""100""}",Berkeley,45015,FALSE,FALSE,America/New_York,8.606109882,5.345409865,Moncks Corner / Oak Hill,29469,KMKS0,2196,1842,5.347648376,KMKS0_2022.epw
44420,41.17326,-80.68007,Girard,OH,Ohio,TRUE,,14796,365.3,39155,Trumbull,"{""39155"": ""100""}",Trumbull,39155,FALSE,FALSE,America/New_York,8.606078524,5.345390387,Youngstown-Warren Reg Airprt,44420,72525,5948,737,5.34762889,72525_2022.epw
74522,34.9035,-95.69272,Alderson,OK,Oklahoma,TRUE,,266,125.6,40121,Pittsburg,"{""40121"": ""100""}",Pittsburg,40121,FALSE,FALSE,America/Chicago,8.605559178,5.345067812,McAlester / Frink,74522,KMLC0,3305,2466,5.34730618,KMLC0_2022.epw
98418,47.22323,-122.44647,Tacoma,WA,Washington,TRUE,,9469,2172,53053,Pierce,"{""53053"": ""100""}",Pierce,53053,FALSE,FALSE,America/Los_Angeles,8.605323712,5.34492156,Tacoma / McChord Air Force Base,98418,74206,5438,253,5.347159867,74206_2022.epw
5832,44.5882,-71.91273,East Burke,VT,Vermont,TRUE,,879,11.6,50005,Caledonia,"{""50005"": ""100""}",Caledonia,50005,FALSE,FALSE,America/New_York,8.603920603,5.344050064,Lyndonville / Egypt,5832,KCDA0,8006,246,5.346288006,KCDA0_2022.epw
95825,38.59036,-121.40641,Sacramento,CA,California,TRUE,,35825,2933.5,6067,Sacramento,"{""06067"": ""100""}",Sacramento,6067,FALSE,FALSE,America/Los_Angeles,8.603511766,5.343796128,Sacramento / McClellan Park,95825,KMCC0,2546,1720,5.346033963,KMCC0_2022.epw
92333,34.27062,-116.94926,Fawnskin,CA,California,TRUE,,316,29.2,6071,San Bernardino,"{""06071"": ""100""}",San Bernardino,6071,FALSE,FALSE,America/Los_Angeles,8.603501312,5.343789635,Big Bear City,92333,KL350,6902,55,5.346027467,KL350_2022.epw
14842,42.59462,-76.96503,Himrod,NY,New York,TRUE,,832,19.2,36123,Yates,"{""36123"": ""100""}",Yates,36123,FALSE,FALSE,America/New_York,8.603090468,5.343534452,Penn Yan,14842,KPEO0,6302,678,5.345772178,KPEO0_2022.epw
17501,40.15723,-76.20403,Akron,PA,Pennsylvania,TRUE,,4251,1179.4,42071,Lancaster,"{""42071"": ""100""}",Lancaster,42071,FALSE,FALSE,America/New_York,8.60301834,5.343489652,Lancaster / Kissell Hill,17501,KLNS0,4836,1284,5.345727359,KLNS0_2022.epw
95621,38.69576,-121.30829,Citrus Heights,CA,California,TRUE,,41757,2372.5,6067,Sacramento,"{""06067"": ""100""}",Sacramento,6067,FALSE,FALSE,America/Los_Angeles,8.602798573,5.343353151,Sacramento / McClellan Park,95621,KMCC0,2546,1720,5.3455908,KMCC0_2022.epw
97233,45.514,-122.49948,Portland,OR,Oregon,TRUE,,41047,3505.2,41051,Multnomah,"{""41051"": ""100""}",Multnomah,41051,FALSE,FALSE,America/Los_Angeles,8.601175997,5.34234534,Portland / Troutdale,97233,KTTD0,4357,683,5.344582568,KTTD0_2022.epw
92708,33.71052,-117.9512,Fountain Valley,CA,California,TRUE,,57416,2422.9,6059,Orange,"{""06059"": ""100""}",Orange,6059,FALSE,FALSE,America/Los_Angeles,8.599762582,5.341467442,Santa Ana / Paularino,92708,KSNA0,805,1439,5.343704302,KSNA0_2022.epw
40740,37.01776,-84.03398,Lily,KY,Kentucky,TRUE,,3220,76.4,21125,Laurel,"{""21125"": ""100""}",Laurel,21125,FALSE,FALSE,America/New_York,8.599589333,5.341359834,London-Corbin / Sublimity City,40740,KLOZ0,4351,1181,5.343596649,KLOZ0_2022.epw
48301,42.54444,-83.28284,Bloomfield Hills,MI,Michigan,TRUE,,14797,774,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit,8.598832181,5.340889553,Troy / Birmingham,48301,KVLL0,6035,987,5.343126171,KVLL0_2022.epw
92324,34.03144,-117.28736,Colton,CA,California,TRUE,,59409,771.6,6071,San Bernardino,"{""06071"": ""98.43"", ""06065"": ""1.57""}",San Bernardino|Riverside,06071|06065,FALSE,FALSE,America/Los_Angeles,8.598430949,5.340640341,San Bernardino / North Norton,92324,KSBD0,1477,2339,5.342876855,KSBD0_2022.epw
29414,32.83801,-80.08832,Charleston,SC,South Carolina,TRUE,,39520,435.2,45019,Charleston,"{""45019"": ""99.87"", ""45035"": ""0.13""}",Charleston|Dorchester,45019|45035,FALSE,FALSE,America/New_York,8.59754161,5.340087957,Charleston Airport,29414,72208,1723,2286,5.342324239,72208_2022.epw
23124,37.5535,-77.05236,New Kent,VA,Virginia,TRUE,,4339,30.7,51127,New Kent,"{""51127"": ""100""}",New Kent,51127,FALSE,FALSE,America/New_York,8.596169591,5.339235771,Quinton / Wrights Corner,23124,KW960,3865,1408,5.341471697,KW960_2022.epw
80015,39.62598,-104.77999,Aurora,CO,Colorado,TRUE,,67959,1828.8,8005,Arapahoe,"{""08005"": ""100""}",Arapahoe,8005,FALSE,FALSE,America/Denver,8.5949804,5.338497143,Denver / Dove Valley,80015,KAPA0,6175,855,5.340732759,KAPA0_2022.epw
11729,40.76279,-73.32177,Deer Park,NY,New York,TRUE,,27419,1689.7,36103,Suffolk,"{""36103"": ""100""}",Suffolk,36103,FALSE,FALSE,America/New_York,8.594774571,5.338369299,Farmingdale / East Farmingdale,11729,KFRG0,4709,1133,5.340604861,KFRG0_2022.epw
45067,39.48775,-84.47871,Trenton,OH,Ohio,TRUE,,14970,291.1,39017,Butler,"{""39017"": ""100""}",Butler,39017,FALSE,FALSE,America/New_York,8.593788512,5.33775684,Middletown / Harlan Park,45067,KMWO0,5330,971,5.339992146,KMWO0_2022.epw
22033,38.87521,-77.38454,Fairfax,VA,Virginia,TRUE,,40170,2050.6,51059,Fairfax,"{""51059"": ""100""}",Fairfax,51059,FALSE,FALSE,America/New_York,8.591135263,5.336108859,Dulles International Airport,22033,72403,4325,1356,5.338343475,72403_2022.epw
32224,30.27027,-81.46796,Jacksonville,FL,Florida,TRUE,,43751,798.2,12031,Duval,"{""12031"": ""99.89"", ""12109"": ""0.11""}",Duval|St. Johns,12031|12109,FALSE,FALSE,America/New_York,8.58979849,5.335278565,Jacksonville / Hatch Road Mobile Home Park,32224,74782,866,3057,5.337512833,74782_2022.epw
