fip_code,STATE_fip,COUNTY_fip,CENTROID_LAT,CENTROID_LON,Population_centroid_lat,Population_centroid_long,Population,county_name,state,Location Name,Latitude,Longitude,Year,Station_WMO,Station_Latitude,Station_Longitude,Distance_Miles,Status,HDD_base65F,CDD_base65F,QC_Missing_Data,QC_Extreme_Temperature,QC_Sudden_Temp_Jumps,QC_Constant_Temp_Periods,QC_Day-Night_Swings,QC_Summer_Freezing,QC_Winter_Extreme_Heat,QC_Missing_Temperature_Data,Temp_Total_Holes,Temp_Interpolated,Temp_MERRA2_Fill,Dewpoint_Total_Holes,Dewpoint_Interpolated,Dewpoint_MERRA2_Fill,RH_Total_Holes,RH_Interpolated,RH_MERRA2_Fill,Pressure_Total_Holes,Pressure_Interpolated,Pressure_MERRA2_Fill,WindDir_Total_Holes,WindDir_Interpolated,WindDir_MERRA2_Fill,WindSpeed_Total_Holes,WindSpeed_Interpolated,WindSpeed_MERRA2_Fill,Snow_Total_Holes,Snow_Interpolated,Snow_MERRA2_Fill,Precipitation_Total_Holes,Precipitation_Interpolated,Precipitation_MERRA2_Fill
G0100010,1,1,32.5321596,-86.6464695,32.500389,-86.494165,54571.0,Autauga,Alabama,G0100010,32.500389,-86.494165,2021,KMXF0,32.3792,-86.3625,11.360394120093696,True,1941.0,1984.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,0.0,8760.0,1.0,1.0,0.0
G0100030,1,3,30.6592183,-87.7460666,30.548923,-87.762381,182265.0,Baldwin,Alabama,G0100030,30.548923,-87.762381,2021,KCQF0,30.4605,-87.877,9.158715825047242,True,1581.0,2045.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,0.0,8760.0,6.0,3.0,3.0
G0100050,1,5,31.8702531,-85.4051035,31.844036,-85.310038,27457.0,Barbour,Alabama,G0100050,31.844036,-85.310038,2021,KEUF0,31.9513,-85.1289,12.95482839817542,True,1734.0,2234.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,0.0,8760.0,0.0,0.0,0.0
G0100070,1,7,33.0158929,-87.1271475,33.030921,-87.127659,22915.0,Bibb,Alabama,G0100070,33.030921,-87.127659,2021,KEET0,33.1778,-86.7832,22.370841933876463,True,2205.0,1784.0,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,0.0,8760.0,0.0,0.0,0.0
G0100090,1,9,33.9773575,-86.56644,33.955243,-86.591491,57322.0,Blount,Alabama,G0100090,33.955243,-86.591491,2021,K3A10,34.2687,-86.858,26.48566275593067,True,2973.0,1301.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,0.0,8760.0,2.0,2.0,0.0
G0100110,1,11,32.1017589,-85.7172613,32.116327,-85.701192,10914.0,Bullock,Alabama,G0100110,32.116327,-85.701192,2021,72226,32.3,-86.0667,24.85235927994501,True,1750.0,2224.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,0.0,8760.0,31.0,5.0,26.0
G0100130,1,13,31.751667,-86.6819689,31.773539,-86.65355,20947.0,Butler,Alabama,G0100130,31.773539,-86.65355,2021,KPRN0,31.8457,-86.6107,5.584686886375834,True,1760.0,2229.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,0.0,8760.0,2.0,2.0,0.0
G0100150,1,15,33.7717061,-85.8225133,33.72546,-85.819442,118572.0,Calhoun,Alabama,G0100150,33.72546,-85.819442,2021,KANB0,33.5882,-85.8581,9.74086180969974,True,2363.0,1771.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,0.0,8760.0,4.0,3.0,1.0
G0100170,1,17,32.9155039,-85.3940321,32.860439,-85.266474,34215.0,Chambers,Alabama,G0100170,32.860439,-85.266474,2021,KPIM0,32.8407,-84.8824,22.335035994751312,True,2137.0,1681.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,14.0,0.0,14.0,14.0,0.0,14.0,8760.0,0.0,8760.0,15.0,0.0,15.0
G0100190,1,19,34.0695153,-85.6542417,34.179333,-85.629194,25989.0,Cherokee,Alabama,G0100190,34.179333,-85.629194,2021,72320,34.35,-85.1667,28.922257662929496,True,2580.0,1718.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,0.0,8760.0,0.0,0.0,0.0
